O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.609189999999999898e+00,6.332300000000000428e-02,1.625142000000000087e+00,1.673264000000000085e+00,1.014566000000000079e+00,1.451500000000000012e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.873353999999999964e+00
1.200000000000000000e+01,2.640696000000000154e+00,8.198800000000000532e-02,1.592173999999999978e+00,1.528508999999999896e+00,1.150400000000000089e+00,6.231999999999999693e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.836024000000000100e+00
1.200000000000000000e+01,2.631064999999999987e+00,6.835299999999999709e-02,1.607259999999999911e+00,1.424771000000000010e+00,1.247009999999999952e+00,2.154000000000000012e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.863293000000000088e+00
1.200000000000000000e+01,2.556061000000000138e+00,1.070490000000000053e-01,1.726209000000000104e+00,1.927831000000000072e+00,6.783489999999999798e-01,4.499999999999999660e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.785902000000000100e+00
1.200000000000000000e+01,2.586052000000000017e+00,8.825500000000000012e-02,1.686890999999999918e+00,1.643256999999999968e+00,9.858900000000000441e-01,9.655000000000000387e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.823490000000000055e+00
1.200000000000000000e+01,2.735447000000000184e+00,6.259699999999999986e-02,1.401502000000000026e+00,1.430428999999999951e+00,1.357564999999999911e+00,1.246000000000000059e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.874805999999999973e+00
1.200000000000000000e+01,2.603504000000000040e+00,9.036399999999999988e-02,1.657723000000000058e+00,1.613842999999999916e+00,1.022437999999999958e+00,1.212799999999999989e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.819272999999999918e+00
1.200000000000000000e+01,2.644674999999999887e+00,1.083289999999999947e-01,1.569385999999999948e+00,1.620041999999999982e+00,1.037822000000000022e+00,1.974599999999999966e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.783342999999999900e+00
1.200000000000000000e+01,2.935677000000000092e+00,4.536199999999999954e-02,1.082638999999999907e+00,2.117824999999999847e+00,7.784799999999999498e-01,4.001600000000000296e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.909275999999999973e+00
1.200000000000000000e+01,2.638583999999999818e+00,1.032369999999999954e-01,1.601658999999999944e+00,1.189672000000000063e+00,1.458352000000000093e+00,8.496000000000000080e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.793525000000000036e+00
1.200000000000000000e+01,2.686691999999999858e+00,9.527199999999999558e-02,1.501786000000000065e+00,1.289587999999999957e+00,1.425497999999999932e+00,1.164000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.809457000000000093e+00
