O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
5.344718300000000255e+01,1.651097000000000037e+01,1.020130000000000065e-01,4.228127999999999886e+00,1.015792999999999946e+00,6.750249999999999861e-01,1.302299999999999985e-02,2.409250000000000003e-01,1.193772999999999973e+00,8.681990000000000540e-01,2.170496899999999840e+01
5.367114300000000071e+01,1.651644200000000140e+01,1.351700000000000124e-01,4.561439000000000021e+00,9.483329999999999815e-01,5.814439999999999609e-01,1.716399999999999870e-02,2.939399999999999791e-01,9.783709999999999907e-01,8.410560000000000258e-01,2.145549799999999863e+01
5.348352700000000226e+01,1.559855699999999956e+01,1.804050000000000098e-01,5.450796999999999670e+00,1.073836999999999930e+00,8.332979999999999832e-01,4.295299999999999813e-02,1.546329999999999927e-01,3.307419999999999805e-01,1.374511000000000038e+00,2.147674100000000053e+01
5.306331600000000037e+01,1.598088599999999992e+01,1.367770000000000097e-01,3.812116000000000060e+00,1.153783000000000003e+00,9.795019999999999838e-01,8.824000000000000246e-03,9.552349999999999453e-01,7.544809999999999572e-01,1.094219000000000053e+00,2.206085900000000066e+01
5.397986999999999824e+01,1.767167800000000000e+01,1.128210000000000046e-01,3.549523000000000206e+00,9.416219999999999590e-01,2.755440000000000111e-01,6.509000000000000029e-03,1.692319999999999935e-01,6.031590000000000007e-01,9.936930000000000485e-01,2.169635099999999994e+01
5.316676199999999852e+01,1.548699900000000085e+01,1.861210000000000087e-01,4.977655000000000385e+00,1.406727999999999978e+00,8.829930000000000279e-01,2.164200000000000151e-02,7.358299999999999563e-02,1.177324000000000037e+00,9.782170000000000032e-01,2.164197700000000069e+01
5.289538000000000295e+01,1.527359900000000081e+01,1.561410000000000020e-01,4.888072000000000195e+00,1.268642999999999965e+00,9.823849999999999527e-01,1.734899999999999984e-02,2.255369999999999875e-01,1.409604000000000079e+00,1.197079000000000004e+00,2.168621100000000013e+01
5.332095499999999788e+01,1.507817299999999960e+01,1.765289999999999915e-01,5.567127000000000159e+00,1.603831999999999924e+00,9.579940000000000122e-01,2.368100000000000066e-02,3.186140000000000083e-01,2.884740000000000082e-01,1.136676000000000020e+00,2.152794600000000003e+01
5.378701099999999968e+01,1.626887999999999934e+01,1.418240000000000056e-01,5.105648000000000408e+00,8.036670000000000202e-01,5.544010000000000327e-01,6.446999999999999606e-03,4.727450000000000263e-01,3.051360000000000183e-01,1.065825000000000022e+00,2.148841699999999832e+01
5.263090799999999803e+01,1.274013899999999921e+01,2.125130000000000075e-01,7.714212999999999987e+00,2.252635000000000165e+00,6.906660000000000021e-01,5.950400000000000134e-02,3.782730000000000259e-01,7.692959999999999798e-01,1.300578000000000012e+00,2.125127499999999969e+01
5.211603099999999955e+01,1.126101300000000016e+01,2.308880000000000099e-01,9.075977999999999213e+00,1.479778999999999956e+00,1.290871000000000102e+00,1.259399999999999929e-02,7.892149999999999999e-01,4.449830000000000174e-01,2.308875000000000011e+00,2.098977299999999957e+01
5.324540100000000109e+01,1.475866000000000078e+01,1.791770000000000029e-01,6.249873000000000012e+00,1.448349000000000109e+00,7.785680000000000378e-01,2.133099999999999927e-02,2.986300000000000066e-02,3.284920000000000062e-01,1.629660000000000108e+00,2.133062599999999875e+01
5.365129999999999910e+01,1.668924900000000022e+01,1.166930000000000051e-01,4.395432999999999701e+00,8.773579999999999712e-01,7.109619999999999829e-01,2.377100000000000046e-02,4.538099999999999773e-02,7.563429999999999875e-01,1.123709999999999987e+00,2.160979999999999990e+01
5.427158299999999969e+01,1.793216299999999919e+01,8.408699999999999508e-02,3.893889999999999851e+00,4.894310000000000049e-01,1.832670000000000132e-01,6.467999999999999791e-03,2.501059999999999950e-01,3.837829999999999853e-01,9.443650000000000100e-01,2.156085500000000010e+01
5.383950500000000261e+01,1.723680399999999935e+01,1.299750000000000072e-01,3.938232000000000177e+00,9.033240000000000158e-01,4.527450000000000085e-01,6.498999999999999569e-03,8.881600000000000605e-02,2.686140000000000194e-01,1.473046000000000078e+00,2.166244100000000117e+01
